Date,Time,Putnam_Labber,Treatment_ID,Tank_ID,Light,Temperature_C,Salinity_psu,pH,pH_mv,Ca_ppm,KH_ppm,PO4_ppm,NH4_ppm,NO3_ppm,NO2_ppm,Notes
20201016,,Hreich,WaterTables,Water_Table_1,,25.17,33.5,8.3,-66.3,,,,,,,
20201016,,Hreich,10galtank,10galtank,,25.6,30.5,8.45,-75,,,,,,,
20201021,,Hreich,WaterTables,Water_Table_1,,24.2,37,8.19,-59.2,,,,,,,
20201021,,Hreich,10galtank,10galtank,,26,33,7.79,-35.9,,,,,,,
20201023,,Hreich,WaterTables,Water_Table_1,,24.5,27.34,8.22,-64.6,,,,,,,
20201023,,Hreich,10galtank,10galtank,,26.1,33,7.8,-40.1,,,,,,,
20201028,,Sgray,WaterTables,Water_Table_1,,24.57,32.81,,,,,,,,,
20201104,1215,Hputnam,header,header,,23.89,33.9,,-65.7,,,,,,,
20201104,,Hputnam,10galtank,10galtank,,26,40.43,,-51.3,,,,,,,
20201104,,Hputnam,WaterTables,Water_Table_1,,23.89,33.83,,-65,,,,,,,
20201104,,Hputnam,WaterTables,Water_Table_2,,23.9,33.85,,-65.4,,,,,,,
20201106,1400,Hreich,WaterTables,Water_Table_1,,24.56,33.99,,-65.3,400,232.7,2,0.25,5,0.125,Lights installed today!
20201106,1400,Hreich,WaterTables,Water_Table_2,,24.56,34.19,,-64.3,,,,,,,Lights installed today!
20201110,,Hreich,WaterTables,Water_Table_1,,24.85,35.35,,-61.8,,,,,,,
20201110,,Hreich,WaterTables,Water_Table_2,,24.83,35.27,,-62.7,,,,,,,
20201110,,Hreich,10galtank,10galtank_1,,24.87,41.54,,-64,,,,,,,water replaced in glass tank and heater removed
20201110,,Hreich,header,header,,24.83,35.27,,-43.5,,,,,,,
20201111,,Hreich,WaterTables,Water_Table_1,,24.03,35.29,,-64.5,500,179,2,0.25,5,0.125,
20201111,,Hreich,WaterTables,Water_Table_2,,24.02,35.15,,-65.3,,,,,,,
20201111,,Hreich,10galtank,10galtank_1,,24.1,39.02,,-58.7,,,,,,,
20201111,,Hreich,header,header,,24,35.17,,-65.9,,,,,,,
20201112,1530,Hreich,WaterTables,Water_Table_1,,24.62,36.15,,-64.8,,,,,,,
20201112,1530,Hreich,WaterTables,Water_Table_2,,24.62,,,-62.5,,,,,,,
20201112,1530,Hreich,10galtank,10galtank_1,,24.61,50.92,,-51.3,,,,,,,
20201112,1530,Hreich,10galtank,10galtank_2,,24.61,38.98,,-59.3,,,,,,,
20201112,1530,Hreich,header,header,,24.61,36.12,,-64.8,,,,,,,
20201113,940,Hreich,10galtank,10galtank_1,,25.33,51.51,,-54.5,,,,,,,hyperosmotic stress salinity ramp started 20201111
20201113,1040,Hreich,10galtank,10galtank_1,,25.42,51.55,,-55.3,,,,,,,hyperosmotic stress salinity ramp started 20201111
20201113,1140,Hreich,10galtank,10galtank_1,,25.5,51.59,,-55.3,,,,,,,hyperosmotic stress salinity ramp started 20201111
20201113,1240,Hreich,10galtank,10galtank_1,,25.56,51.62,,-55.4,,,,,,,hyperosmotic stress salinity ramp started 20201111
20201113,1440,Hreich,10galtank,10galtank_1,,25.75,51.68,,-55.1,,,,,,,hyperosmotic stress salinity ramp started 20201111
20201113,1740,Hreich,10galtank,10galtank_1,,25.9,51.76,,-54.1,,,,,,,hyperosmotic stress salinity ramp started 20201111
